"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NPIL_145711",0,NA,NA,NA,NA,NA
"NPIL_452941",0,NA,NA,NA,NA,NA
"NPIL_452951",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_452961",1.60696751414186,1.28066015869742,3.84693593426819,0.332903947603963,0.739206789492604,NA
"NPIL_452971",0,NA,NA,NA,NA,NA
"NPIL_452991",14.5010922842426,2.05080288814219,2.19327118508895,0.935043008855749,0.349766135144259,NA
"NPIL_570951",0,NA,NA,NA,NA,NA
"NPIL_447471",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_447481",2.25295637880936,1.96851623963604,3.8107237597479,0.516572799222336,0.605454407808947,NA
"NPIL_313221",2.14279673205622,4.72813819626397,4.28827631559505,1.10257311989651,0.270212588715207,NA
"NPIL_364491",17.0775113619516,0.697375772912121,2.65734981327159,0.262432807840812,0.792987781771156,NA
"NPIL_1411",0,NA,NA,NA,NA,NA
"NPIL_565021",0,NA,NA,NA,NA,NA
"NPIL_263791",0,NA,NA,NA,NA,NA
"NPIL_588511",0,NA,NA,NA,NA,NA
"NPIL_33831",0,NA,NA,NA,NA,NA
"NPIL_206801",1.00299161844324,0.252642735067618,4.78166850575575,0.0528356858622693,0.957862827992249,NA
"NPIL_206811",0.535699183014056,2.75986220808976,4.89382262762373,0.563948148122779,0.572789420969672,NA
"NPIL_206821",0.714265577352074,3.16384889895011,4.86764989580518,0.649974621567716,0.515708614811257,NA
"NPIL_206841",0,NA,NA,NA,NA,NA
"NPIL_206851",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_206871",12.8347678161614,1.20693873714645,2.39340302405195,0.504277267563213,0.614066549642082,NA
"NPIL_285221",0,NA,NA,NA,NA,NA
"NPIL_336241",0,NA,NA,NA,NA,NA
"NPIL_658501",0,NA,NA,NA,NA,NA
"NPIL_329541",0,NA,NA,NA,NA,NA
"NPIL_594911",0,NA,NA,NA,NA,NA
"NPIL_209611",0,NA,NA,NA,NA,NA
"NPIL_97861",0,NA,NA,NA,NA,NA
"NPIL_97871",10.5273754595974,-1.1237558482826,2.20233458383955,-0.510256641533296,0.609871674673539,NA
"NPIL_97881",0,NA,NA,NA,NA,NA
"NPIL_85661",0,NA,NA,NA,NA,NA
"NPIL_85671",0,NA,NA,NA,NA,NA
"NPIL_81009",0,NA,NA,NA,NA,NA
"NPIL_617571",0.892831971690092,3.47876825750255,4.85162585586234,0.717031436646967,0.473354699489208,NA
"NPIL_174811",1.07139836602811,3.73696590521037,4.84079954100282,0.771972868026719,0.440130497270207,NA
"NPIL_174821",17.0561793053774,-0.857460464600604,1.89503421535608,-0.452477563545989,0.650924980976497,NA
"NPIL_388051",4.49042360216615,5.77706696924075,3.14127224523685,1.8390850961742,0.0659026707693597,NA
"NPIL_528231",0,NA,NA,NA,NA,NA
"NPIL_280041",0,NA,NA,NA,NA,NA
"NPIL_280051",0.769345400728645,1.26612143240336,4.8851406356326,0.259178092677244,0.795497833241464,NA
"NPIL_280061",0,NA,NA,NA,NA,NA
