"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_649811",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_649821",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_378251",4.71586289723572,5.08565484149772,5.80331490082402,5.10442166641529
"NPIL_378261",5.60310438272649,4.86799461657919,5.49363617290194,3.9041946870245
"NPIL_644011",2.05236275430813,3.64733107614929,3.74893307400981,3.26924437970411
"NPIL_11271",2.05236275430813,2.05236275430813,2.64682596935298,2.05236275430813
"NPIL_11281",2.05236275430813,2.05236275430813,2.05236275430813,2.9251909117259
"NPIL_11291",4.39457801497995,8.71564184691577,8.6783217933056,4.05771726498011
"NPIL_11301",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_11311",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_11321",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_496581",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_90201",2.05236275430813,2.05236275430813,3.34715224576723,2.05236275430813
"NPIL_90211",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_697361",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_1531",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_1541",2.05236275430813,2.05236275430813,3.34715224576723,2.05236275430813
"NPIL_46091",2.05236275430813,2.05236275430813,4.5404113927694,2.05236275430813
"NPIL_330211",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_330221",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_548611",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_548621",2.05236275430813,2.05236275430813,2.64682596935298,2.05236275430813
"NPIL_189271",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_189281",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_669341",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_669351",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_223801",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_80924",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_46371",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_184371",2.05236275430813,2.05236275430813,3.66103592681186,2.05236275430813
"NPIL_480431",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
