"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_80663",0,0,0,0
"NPIL_80662",0,0,0,0
"NPIL_80664",10.2089968949649,0,223.830590845604,41.7611158015518
"NPIL_80203",0,0,0,0
"NPIL_80666",0,57.762435577184,0,0
"NPIL_80665",0,0,20.6308499137994,0
"NPIL_80668",0,0,0,0
"NPIL_80667",0,0,41.2616998275988,0
"NPIL_80669",9.93675697776587,55.4519381540967,0,60.9712290702657
"NPIL_80670",0,28.881217788592,0,0
"NPIL_80671",0,0,0,0
"NPIL_80672",0,0,271.723389108577,0
"NPIL_80673",0,25.3591180582759,181.148926072385,0
"NPIL_80674",0,0,0,0
"NPIL_80254",14433.1139263816,207.730612806927,4988.62874661255,10588.3352234537
"NPIL_80675",0,0,0,0
"NPIL_80676",0,0,0,0
"NPIL_80677",0,0,0,0
"NPIL_80678",0,0,20.3482355314186,0
"NPIL_80679",0,0,0,0
"NPIL_80681",175.354534901751,48.9281807242029,87.3777172819738,161.39442989188
"NPIL_80680",413.033874377015,2355.03713244808,715.865635563159,110.188968199275
"NPIL_80682",0,0,0,0
"NPIL_80683",0,86.643653365776,433.247848189787,0
"NPIL_80684",0,0,0,0
"NPIL_80686",0,0,0,0
"NPIL_80685",0,0,0,0
"NPIL_80687",0,0,0,0
"NPIL_80688",0,0,0,0
"NPIL_80689",0,0,0,0
"NPIL_80690",0,0,0,0
"NPIL_80691",0,0,0,0
"NPIL_80222",0,0,0,0
"NPIL_80693",0,57.762435577184,165.046799310395,0
"NPIL_80692",0,0,0,0
"NPIL_80694",0,0,0,0
"NPIL_80695",0,177.513826407931,36.229785214477,0
"NPIL_80696",0,0,0,0
"NPIL_80697",0,0,0,0
"NPIL_80698",0,0,0,0
"NPIL_80699",0,0,142.43764871993,20.8805579007759
"NPIL_80700",0,56.9711693364007,1648.2070780449,0
"NPIL_80701",0,0,322.917650824686,0
"NPIL_80702",0,0,0,0
"NPIL_80703",0,0,0,0
"NPIL_80707",0,0,0,0
"NPIL_80706",0,0,0,0
"NPIL_80705",0,0,0,0
"NPIL_80704",0,0,0,0
"NPIL_80708",20.7015770370122,115.524871154368,82.5233996551975,0
"NPIL_80709",0,0,0,0
"NPIL_80710",0,0,0,0
"NPIL_80711",0,28.4855846682003,61.0447065942557,0
"NPIL_80712",0,0,0,0
"NPIL_80713",0,0,0,0
"NPIL_80714",0,0,0,0
"NPIL_80715",0,0,37.1355298448389,0
"NPIL_80717",0,0,0,0
"NPIL_80716",0,0,0,0
"NPIL_80723",0,0,0,0
"NPIL_80722",0,0,0,0
"NPIL_80721",0,0,18.1148926072385,0
"NPIL_80720",0,0,199.263818679623,0
"NPIL_80719",0,0,0,0
"NPIL_80718",0,0,36.229785214477,0
"NPIL_80724",0,0,0,0
"NPIL_80725",0,0,0,0
"NPIL_80726",0,0,0,0
