Gene ID,NPFM1,NPFM2,NPFM3,NPFM4,FC_NPFM2_vs_NPFM1,log2FC_NPFM2_vs_NPFM1,FC_NPFM3_vs_NPFM1,log2FC_NPFM3_vs_NPFM1,FC_NPFM4_vs_NPFM1,log2FC_NPFM4_vs_NPFM1,FC_NPFM3_vs_NPFM2,log2FC_NPFM3_vs_NPFM2,FC_NPFM4_vs_NPFM2,log2FC_NPFM4_vs_NPFM2,FC_NPFM4_vs_NPFM3,log2FC_NPFM4_vs_NPFM3,Chr,Gene Name,Description
NPIL_608581,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,BMAW01000086.1,HDLBP,vigilin
NPIL_608591,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,BMAW01000086.1,Hdlbp_1,vigilin
NPIL_608601,0.0,0.356976210057306,0.818467621490676,0.0,1.356976210057306,0.4403954282488804,1.8184676214906759,0.8627232382869606,1.0,0.0,1.3400880634553505,0.42232781003808034,0.7369325951246922,-0.44039542824888045,0.5499135580870321,-0.8627232382869607,BMAW01000086.1,Unknown,hypothetical protein
NPIL_608612,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1,KAT5,histone acetyltransferase KAT5
NPIL_608611,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1,KAT5,histone acetyltransferase KAT5
NPIL_608613,0.0,0.888176304204014,0.226265792971825,0.0,1.888176304204014,0.9169934793849349,1.226265792971825,0.29427171690968246,1.0,0.0,0.6494445408734084,-0.6227217624752523,0.5296115610462357,-0.9169934793849349,0.8154838907937932,-0.2942717169096824,BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1,KAT5,histone acetyltransferase KAT5
NPIL_80394,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,BMAW01000086.1;BMAW01000086.1,Unknown,tRNA-Leu
NPIL_608621,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,BMAW01000086.1,Unknown,hypothetical protein
NPIL_608631,0.261087931400268,0.254353117866606,0.3868778859563,0.150334431925899,0.9946595210643371,-0.007725329366015966,1.09974717180614,0.13717189110800235,0.9121762275915273,-0.13261552256794074,1.1056518823942425,0.14489722047401832,0.9170738411224894,-0.12489019320192486,0.829441758048297,-0.26978741367594306,BMAW01000086.1,Slc7a8,large neutral amino acids transporter small subunit 2
NPIL_608641,6.19169772710242,2.17328752078553,0.440661829138808,4.79071005469673,0.44124317250247774,-1.1803541396152106,0.2003229117527524,-2.319600657352804,0.8051937490189598,-0.3125921226956124,0.4539966264330753,-1.1392465177375934,1.8248299332369577,0.8677620169195985,4.019479059952794,2.0070085346571918,BMAW01000086.1,CSNK2A1,casein kinase II subunit alpha
NPIL_608651,0.867292953686037,1.91349747891012,0.162489895443002,1.42417855676788,1.560278730318601,0.641803777118527,0.6225535704765803,-0.6837301090550824,1.2982315131552074,0.3765476815634316,0.39900151067845296,-1.3255338861736095,0.8320510226337028,-0.26525609555509544,2.085333013448752,1.060277790618514,BMAW01000086.1,SOCS6,suppressor of cytokine signaling 6
NPIL_608661,0.775671486782364,0.942617551152516,0.709913301809564,1.26436164248154,1.094018553326364,0.12963720482605331,0.9629671448450421,-0.054441518810038,1.2752142833496276,0.3507396937903562,0.8802109817215987,-0.18407872363609137,1.1656240010485541,0.22110248896430257,1.3242552356807888,0.4051812126003941,BMAW01000086.1,Coq9,"ubiquinone biosynthesis protein COQ9, mitochondrial"
NPIL_608671,0.279667733602099,0.256223236114527,0.357007175938425,0.21891801769449,0.9816792305752847,-0.026676402380870864,1.0604371277836517,0.08465908751288313,0.9525269612475058,-0.07016816626294556,1.0802277309689166,0.11133548989375391,0.9703036710772671,-0.0434917638820748,0.8982399203980327,-0.15482725377582876,BMAW01000086.1,CARMIL1,hypothetical protein
NPIL_608681,0.0,0.0,1.27492071809124,0.0,1.0,0.0,2.27492071809124,1.185816267680712,1.0,0.0,2.27492071809124,1.185816267680712,1.0,0.0,0.43957575841985586,-1.185816267680712,BMAW01000086.1,AVEN_197846_1,DUF1758 domain-containing protein
NPIL_608691,0.0,0.0,0.376681121254231,0.0,1.0,0.0,1.376681121254231,0.46119442870975313,1.0,0.0,1.376681121254231,0.46119442870975313,1.0,0.0,0.7263846249950359,-0.46119442870975313,BMAW01000086.1,AVEN_220417_1,DUF1758 domain-containing protein
NPIL_608701,0.0,0.0954205361194523,0.337283086663428,0.0,1.0954205361194522,0.1314848322930147,1.337283086663428,0.41930489886053246,1.0,0.0,1.2207942452866352,0.28782006656751774,0.9128914120439249,-0.13148483229301475,0.7477848257955897,-0.4193048988605325,BMAW01000086.1,AVEN_92650_1,integrase catalytic domain-containing protein
NPIL_608711,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1,E(z),histone-lysine N-methyltransferase E(z)
