"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_225561",-1.31886638043297,-1.29803662341174,-0.529733724309694,-1.1886312257909
"NPIL_225571",-0.886724928621245,-0.868788539975672,1.66888851670192,-0.748940677628539
"NPIL_225581",0,0,0,0
"NPIL_225591",-0.710044880342365,-0.217449903957113,0.503000075972704,-0.607226200671926
"NPIL_225601",5.43124784480895,7.13413343139766,6.77231595055812,4.53064220493687
"NPIL_225611",1.62016217077148,3.3648319939174,3.25971804618733,1.0109853375378
"NPIL_225621",1.70069056185822,1.57742810770674,2.66062041532024,0.658698490759424
"NPIL_225631",7.09481164991846,6.2732459816448,6.5217471039694,5.77899108309516
"NPIL_225641",4.04075523173761,5.22392151933535,6.13616688795455,2.88760203460624
"NPIL_225651",-1.15129856383953,-1.13727995981703,0.139776419559272,-0.987697483549853
"NPIL_225661",7.16208973605182,6.38657361618318,6.09064176884463,6.97919505005759
"NPIL_225671",6.91816592236735,7.18661593081323,7.57213246776698,6.40676518909307
"NPIL_225681",0,0,0,0
"NPIL_225691",1.10224441551947,1.15010062279926,1.21806544237795,1.68761794015607
"NPIL_225692",0,0,0,0
"NPIL_225701",-1.31886638043297,-1.29803662341174,-0.529733724309694,-1.1886312257909
"NPIL_225711",2.76763987764866,5.39249488467243,6.32860122783072,4.50517800770905
"NPIL_225721",5.61441740505958,5.17644072088346,5.62509855088395,5.6825206159967
"NPIL_225731",10.4251247214534,9.93499898940276,8.92573002590607,10.4883654398398
"NPIL_225741",5.87083043129573,5.31192978689524,4.89672347873291,5.27358905878959
"NPIL_225751",-1.04721064393277,-1.03866907299663,0.627262569349034,-0.872411054474719
"NPIL_225761",-1.83749337707481,-1.59916546831548,-1.85688112046249,-1.7677774965917
"NPIL_225771",0,0,0,0
"NPIL_225781",0,0,0,0
"NPIL_225791",0.25019897958915,2.0436144424881,3.34697892449788,0.40607719970992
"NPIL_225801",8.07426837164845,6.83625008858954,6.59204693679986,8.13447414063172
"NPIL_225811",-0.373879480271541,0.50210998352694,1.28422827152928,-0.29953874058619
"NPIL_225821",-0.451808225620127,0.794886361248795,0.446145788905727,-0.386062354558954
"NPIL_225831",5.86977547986503,5.22742453832634,5.38243264925884,3.97996371864658
"NPIL_225841",-1.82285806913077,-1.81396776303871,-1.65718446355269,-1.76727266851686
"NPIL_225851",1.2770924685644,2.86209350284034,2.40618173869588,1.9052678333787
"NPIL_225861",6.11637366038241,6.70225731910165,7.03161136412308,7.1785815707947
"NPIL_225871",-0.289894839566454,-0.267899995518994,2.80383045067366,0.69883240399448
"NPIL_80275",0,0,0,0
"NPIL_225881",0,0,0,0
"NPIL_80276",0,0,0,0
"NPIL_225891",0,0,0,0
"NPIL_225901",0,0,0,0
"NPIL_80277",-1.82285806913077,-1.81396776303871,-1.65718446355269,-1.76727266851686
"NPIL_225911",-1.23080818302674,-1.20732209537698,-0.170545586031966,-1.07584548770134
"NPIL_225921",0,0,0,0
"NPIL_80278",-0.170333924895851,-0.837925259179101,-0.245422992967577,-0.740395647341404
"NPIL_225931",0.981906304245464,3.21097913671372,3.71184045480371,2.08811731470165
"NPIL_225941",-0.710044880342365,-0.217449903957113,0.503000075972704,-0.607226200671926
"NPIL_225951",0,0,0,0
"NPIL_225961",5.86260674243526,5.39469521551821,4.29346574005159,7.12993608397015
"NPIL_225971",10.0942191021463,9.35027403761796,7.97245495273564,9.8997496078986
