Pathway_ID,Pathway_Name,Gene_Count
map00562,Pathway (map00562),44
map05142,Pathway (map05142),44
ko05142,Pathway (ko05142),44
map03410,Pathway (map03410),44
ko03410,Pathway (ko03410),44
ko04660,Pathway (ko04660),44
map04660,Pathway (map04660),44
ko05412,Pathway (ko05412),44
map05412,Pathway (map05412),44
ko00790,Pathway (ko00790),44
map00790,Pathway (map00790),44
ko03030,Pathway (ko03030),44
map03030,Pathway (map03030),44
ko02010,Pathway (ko02010),44
map02010,Pathway (map02010),44
map00270,Pathway (map00270),44
ko00270,Pathway (ko00270),44
map04920,Pathway (map04920),43
ko04668,Pathway (ko04668),43
map04668,Pathway (map04668),43
ko04920,Pathway (ko04920),43
ko05215,Pathway (ko05215),43
map01521,Pathway (map01521),43
map05215,Pathway (map05215),43
ko01521,Pathway (ko01521),43
ko00071,Pathway (ko00071),43
map00071,Pathway (map00071),43
ko05222,Pathway (ko05222),42
map05222,Pathway (map05222),42
map04550,Pathway (map04550),42
ko04550,Pathway (ko04550),42
ko00980,Pathway (ko00980),42
map00980,Pathway (map00980),42
ko01524,Pathway (ko01524),42
map01524,Pathway (map01524),42
map05211,Pathway (map05211),41
ko05211,Pathway (ko05211),41
ko00680,Pathway (ko00680),41
map00680,Pathway (map00680),41
ko04380,Pathway (ko04380),40
map04620,Pathway (map04620),40
map05131,Pathway (map05131),40
ko05131,Pathway (ko05131),40
map04380,Pathway (map04380),40
ko04620,Pathway (ko04620),40
map00260,Pathway (map00260),40
ko00260,Pathway (ko00260),40
ko04973,Pathway (ko04973),40
map04973,Pathway (map04973),40
map04730,Pathway (map04730),40
ko04730,Pathway (ko04730),40
ko05323,Pathway (ko05323),39
map05323,Pathway (map05323),39
map04612,Pathway (map04612),39
ko04612,Pathway (ko04612),39
map04624,Pathway (map04624),39
map05133,Pathway (map05133),39
ko05133,Pathway (ko05133),39
ko04624,Pathway (ko04624),39
map03015,Pathway (map03015),39
ko03015,Pathway (ko03015),39
map05204,Pathway (map05204),39
ko05204,Pathway (ko05204),39
ko05230,Pathway (ko05230),38
map05230,Pathway (map05230),38
ko04975,Pathway (ko04975),38
map04975,Pathway (map04975),38
ko04370,Pathway (ko04370),38
map04370,Pathway (map04370),38
map00720,Pathway (map00720),38
ko00720,Pathway (ko00720),38
ko05020,Pathway (ko05020),37
map05020,Pathway (map05020),37
ko04740,Pathway (ko04740),37
map04740,Pathway (map04740),37
ko04917,Pathway (ko04917),36
map04917,Pathway (map04917),36
map04745,Pathway (map04745),36
ko04745,Pathway (ko04745),36
ko00760,Pathway (ko00760),35
map00760,Pathway (map00760),35
map04011,Pathway (map04011),35
ko04011,Pathway (ko04011),35
map00052,Pathway (map00052),35
ko00052,Pathway (ko00052),35
ko00020,Citrate cycle (TCA cycle),35
map00020,Citrate cycle (TCA cycle),35
ko04962,Pathway (ko04962),35
map04962,Pathway (map04962),35
map03460,Pathway (map03460),35
ko03460,Pathway (ko03460),35
map00350,Pathway (map00350),35
