Gene ID,Chr,Gene Name,Description,NPFM1,NPFM2,NPFM3,NPFM4,Avg Expression,Standard Deviation,Z-score_NPFM1,Z-score_NPFM2,Z-score_NPFM3,Z-score_NPFM4
NPIL_570391,BMAW01042648.1,AVEN_133726_1,uncharacterized protein,0,0,1,0,0.25,0.5,-0.5,-0.5,1.5,-0.5
NPIL_81065,BMAW01042648.1,Unknown,tRNA-Thr,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_570401,BMAW01042648.1,MTIF2,"translation initiation factor IF-2, mitochondrial",107,57,159,143,116.5,45.23641600893392,-0.40467178646909424,-0.9144257417381233,-0.09213506691226385,1.411232595119482
NPIL_570411,BMAW01042648.1,PPCS,phosphopantothenate--cysteine ligase,4,45,50,0,24.75,26.399179280172074,-0.7798563950845337,1.0043855413151621,0.7116975069251684,-0.9362266531557967
NPIL_570421,BMAW01042648.1,SECISBP2,selenocysteine insertion sequence-binding protein 2,1662,317,209,461,662.25,674.4466250193561,1.3542761151286764,-0.6157813215219549,-0.8762297870125954,0.13773499340587364
NPIL_570431,BMAW01042648.1,AVEN_49102_1,uncharacterized protein,0,2,2,0,1.0,1.1547005383792515,-0.8509652893049984,1.0783771465071266,0.6235534321028698,-0.8509652893049984
NPIL_570441,BMAW01042648.1,AAMP,angio-associated migratory cell protein,345,172,215,460,298.0,130.66241489681212,-0.14759631164949352,-0.6409652919872666,-0.667901885361668,1.4564634889984276
NPIL_570451,BMAW01042648.1,HAO1,hydroxyacid oxidase 1,1430,277,196,16,479.75,642.8220982511414,1.4766815339287913,-0.2759175517812586,-0.4946368220083448,-0.7061271601391875
NPIL_570461,BMAW01042648.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_681031,BMAW01042653.1,TIGD1_86,tigger transposable element-derived protein 1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
